benchmark,lam,arm,mean,std,ideal,infidelity,rmse,iters_min,iters_mean,iters_max,strategy,applied,C,bounded_cap,pass_predicted_F,best_arm,regret
rus,0.0,purl,0.500000,0.000000,0.500000,0.000000,0.000000,1,10.078,102,refresh,True,3,3,0.8596,purl,0.000000
rus,0.0,unbounded,0.500000,0.000000,0.500000,0.000000,0.000000,1,10.078,102,refresh,True,3,3,0.8596,purl,0.000000
rus,0.25,purl,0.499170,0.000600,0.500000,0.000830,0.001024,1,9.785,113,refresh,True,3,3,0.8596,purl,0.000000
rus,0.25,unbounded,0.508660,0.000676,0.500000,0.008660,0.008687,1,9.785,113,refresh,True,3,3,0.8596,purl,0.000000
rus,0.5,purl,0.498373,0.000840,0.500000,0.001627,0.001832,1,9.450,95,refresh,True,3,3,0.8596,purl,0.000000
rus,0.5,unbounded,0.515998,0.000874,0.500000,0.015998,0.016022,1,9.450,95,refresh,True,3,3,0.8596,purl,0.000000
rus,1.0,purl,0.496607,0.000765,0.500000,0.003393,0.003479,1,8.935,95,refresh,True,3,3,0.8596,purl,0.000000
rus,1.0,unbounded,0.529347,0.000982,0.500000,0.029347,0.029364,1,8.935,95,refresh,True,3,3,0.8596,purl,0.000000
rus,2.0,purl,0.495277,0.001060,0.500000,0.004723,0.004840,1,8.081,87,refresh,True,3,3,0.8596,purl,0.000000
rus,2.0,unbounded,0.550980,0.001907,0.500000,0.050980,0.051016,1,8.081,87,refresh,True,3,3,0.8596,purl,0.000000
rus,4.0,purl,0.492057,0.002216,0.500000,0.007943,0.008246,1,6.773,71,refresh,True,3,3,0.8596,purl,0.000000
rus,4.0,unbounded,0.580000,0.001180,0.500000,0.080000,0.080009,1,6.773,71,refresh,True,3,3,0.8596,purl,0.000000
ipe,0.0,purl,1.000000,0.000000,1.000000,0.000000,0.000000,1,8.371,84,refresh,True,3,3,0.8802,purl,0.000000
ipe,0.0,unbounded,1.000000,0.000000,1.000000,0.000000,0.000000,1,8.371,84,refresh,True,3,3,0.8802,purl,0.000000
ipe,0.25,purl,0.992477,0.001629,1.000000,0.007523,0.007697,1,8.133,76,refresh,True,3,3,0.8802,purl,0.000000
ipe,0.25,unbounded,0.986681,0.001489,1.000000,0.013319,0.013402,1,8.133,76,refresh,True,3,3,0.8802,purl,0.000000
ipe,0.5,purl,0.986327,0.001867,1.000000,0.013673,0.013800,1,7.946,82,refresh,True,3,3,0.8802,purl,0.000000
ipe,0.5,unbounded,0.975219,0.001336,1.000000,0.024781,0.024817,1,7.946,82,refresh,True,3,3,0.8802,purl,0.000000
ipe,1.0,purl,0.970995,0.002842,1.000000,0.029005,0.029144,1,7.622,81,refresh,True,3,3,0.8802,purl,0.000000
ipe,1.0,unbounded,0.956490,0.004331,1.000000,0.043510,0.043725,1,7.622,81,refresh,True,3,3,0.8802,purl,0.000000
ipe,2.0,purl,0.944711,0.004549,1.000000,0.055289,0.055476,1,7.004,108,refresh,True,3,3,0.8802,purl,0.000000
ipe,2.0,unbounded,0.919065,0.003123,1.000000,0.080935,0.080995,1,7.004,108,refresh,True,3,3,0.8802,purl,0.000000
ipe,4.0,purl,0.894023,0.006255,1.000000,0.105977,0.106161,1,5.929,63,refresh,True,3,3,0.8802,purl,0.000000
ipe,4.0,unbounded,0.867757,0.006888,1.000000,0.132243,0.132423,1,5.929,63,refresh,True,3,3,0.8802,purl,0.000000
qwalk,0.0,purl,0.921061,0.000000,0.921061,0.000000,0.000000,1,11.306,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,0.0,unbounded,0.921061,0.000000,0.921061,0.000000,0.000000,1,11.306,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,0.25,purl,0.840259,0.004339,0.921061,0.080802,0.080918,1,11.462,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,0.25,unbounded,0.642862,0.006787,0.921061,0.278199,0.278282,1,11.462,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,0.5,purl,0.785543,0.004747,0.921061,0.135518,0.135601,1,11.513,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,0.5,unbounded,0.580942,0.005038,0.921061,0.340119,0.340156,1,11.513,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,1.0,purl,0.714112,0.006243,0.921061,0.206949,0.207043,1,11.522,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,1.0,unbounded,0.502011,0.009094,0.921061,0.419050,0.419149,1,11.522,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,2.0,purl,0.640575,0.006454,0.921061,0.280486,0.280560,1,11.506,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,2.0,unbounded,0.408727,0.005864,0.921061,0.512334,0.512368,1,11.506,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,4.0,purl,0.566876,0.007622,0.921061,0.354185,0.354267,1,11.548,60,migrate,True,1,1,0.9164,purl,0.000000
qwalk,4.0,unbounded,0.299313,0.009428,0.921061,0.621748,0.621819,1,11.548,60,migrate,True,1,1,0.9164,purl,0.000000
ipe_project,0.0,purl,0.849617,0.001062,1.000000,0.150383,0.150387,1,2.422,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,0.0,unbounded,0.848548,0.002157,1.000000,0.151452,0.151468,1,2.422,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,0.25,purl,0.843245,0.001670,1.000000,0.156755,0.156763,1,2.443,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,0.25,unbounded,0.839322,0.001665,1.000000,0.160678,0.160687,1,2.443,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,0.5,purl,0.836823,0.002399,1.000000,0.163177,0.163195,1,2.455,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,0.5,unbounded,0.829011,0.002240,1.000000,0.170989,0.171004,1,2.455,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,1.0,purl,0.826427,0.001854,1.000000,0.173573,0.173583,1,2.480,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,1.0,unbounded,0.810897,0.004465,1.000000,0.189103,0.189156,1,2.480,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,2.0,purl,0.802390,0.005406,1.000000,0.197610,0.197684,1,2.549,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,2.0,unbounded,0.775190,0.003339,1.000000,0.224810,0.224835,1,2.549,10,migrate,True,1,1,0.9585,purl,0.000000
ipe_project,4.0,purl,0.771057,0.005663,1.000000,0.228943,0.229013,1,2.663,10,migrate,True,1,1,0.9585,purl,0.000000
