benchmark,lam,arm,mean,std,ideal,infidelity,rmse,iters_min,iters_mean,iters_max,strategy,applied,C,bounded_cap,pass_predicted_F,best_arm,regret
rus,0.0,purl,0.500000,0.000000,0.500000,0.000000,0.000000,1,10.089,79,refresh,True,3,3,0.8804,purl,0.000000
rus,0.0,unbounded,0.500000,0.000000,0.500000,0.000000,0.000000,1,10.089,79,refresh,True,3,3,0.8804,purl,0.000000
rus,1.0,purl,0.498449,0.002847,0.500000,0.001551,0.003242,1,9.037,84,refresh,True,3,3,0.8804,purl,0.000000
rus,1.0,unbounded,0.529127,0.001518,0.500000,0.029127,0.029166,1,9.037,84,refresh,True,3,3,0.8804,purl,0.000000
rus,4.0,purl,0.497979,0.003977,0.500000,0.002021,0.004461,1,7.220,64,refresh,True,3,3,0.8804,purl,0.000000
rus,4.0,unbounded,0.584784,0.001810,0.500000,0.084784,0.084804,1,7.220,64,refresh,True,3,3,0.8804,purl,0.000000
ipe,0.0,purl,1.000000,0.000000,1.000000,0.000000,0.000000,1,8.288,64,refresh,True,3,3,0.8983,purl,0.000000
ipe,0.0,unbounded,1.000000,0.000000,1.000000,0.000000,0.000000,1,8.288,64,refresh,True,3,3,0.8983,purl,0.000000
ipe,1.0,purl,0.977529,0.004911,1.000000,0.022471,0.023001,1,7.663,75,refresh,True,3,3,0.8983,purl,0.000000
ipe,1.0,unbounded,0.963812,0.005513,1.000000,0.036188,0.036605,1,7.663,75,refresh,True,3,3,0.8983,purl,0.000000
ipe,4.0,purl,0.918065,0.008669,1.000000,0.081935,0.082392,1,6.405,46,refresh,True,3,3,0.8983,purl,0.000000
ipe,4.0,unbounded,0.877085,0.010359,1.000000,0.122915,0.123351,1,6.405,46,refresh,True,3,3,0.8983,purl,0.000000
qwalk,0.0,purl,0.921061,0.000000,0.921061,0.000000,0.000000,1,11.318,60,migrate,True,1,1,0.9519,unbounded,0.000000
qwalk,0.0,unbounded,0.921061,0.000000,0.921061,0.000000,0.000000,1,11.318,60,migrate,True,1,1,0.9519,unbounded,0.000000
qwalk,1.0,purl,0.673628,0.015846,0.921061,0.247433,0.247939,1,11.545,60,migrate,True,1,1,0.9519,unbounded,0.029577
qwalk,1.0,unbounded,0.703504,0.018738,0.921061,0.217557,0.218362,1,11.545,60,migrate,True,1,1,0.9519,unbounded,0.029577
qwalk,4.0,purl,0.474416,0.020342,0.921061,0.446645,0.447108,1,11.457,60,migrate,True,1,1,0.9519,unbounded,0.046968
qwalk,4.0,unbounded,0.521464,0.020838,0.921061,0.399597,0.400140,1,11.457,60,migrate,True,1,1,0.9519,unbounded,0.046968
ipe_project,0.0,purl,0.849499,0.001648,1.000000,0.150501,0.150510,1,2.423,10,migrate,True,3,3,0.9695,purl,0.000000
ipe_project,0.0,unbounded,0.848317,0.002711,1.000000,0.151683,0.151707,1,2.423,10,migrate,True,3,3,0.9695,purl,0.000000
ipe_project,1.0,purl,0.820474,0.006961,1.000000,0.179526,0.179661,1,2.453,10,migrate,True,3,3,0.9695,unbounded,0.008493
ipe_project,1.0,unbounded,0.828852,0.002621,1.000000,0.171148,0.171168,1,2.453,10,migrate,True,3,3,0.9695,unbounded,0.008493
ipe_project,4.0,purl,0.727746,0.010961,1.000000,0.272254,0.272474,1,2.553,10,migrate,True,3,3,0.9695,unbounded,0.033526
ipe_project,4.0,unbounded,0.761165,0.007353,1.000000,0.238835,0.238949,1,2.553,10,migrate,True,3,3,0.9695,unbounded,0.033526
